"time_to_true","agent","network"
0.415715628113587,"All","lattice"
3.38111411988823,"All","lattice"
0.263514876166887,"All","lattice"
0.684638091228559,"All","lattice"
3.80158565126483,"All","lattice"
1.44450756151465,"All","lattice"
1.07367607722633,"All","lattice"
0.121919337405992,"All","lattice"
2.97293770421033,"All","lattice"
2.01790318462814,"All","lattice"
3.08352010305518,"All","lattice"
1.0099630950127,"All","lattice"
0.117964982668145,"All","lattice"
0.745864401991652,"All","lattice"
2.0281057626356,"All","lattice"
0.278299187565731,"All","lattice"
1.7646941663294,"All","lattice"
0.911597476235838,"All","lattice"
0.257098962029341,"All","lattice"
3.20798984127748,"All","lattice"
7.66904829422209,"All","lattice"
0.771803281450197,"All","lattice"
0.747186702208304,"All","lattice"
0.665490016343654,"All","lattice"
0.299330160372997,"All","lattice"
0.897142230215326,"All","lattice"
0.94862686519942,"All","lattice"
0.170996980940994,"All","lattice"
1.29968453368288,"All","lattice"
1.80917440053186,"All","lattice"
0.835346096607504,"All","lattice"
0.309422436902737,"All","lattice"
1.15325610260874,"All","lattice"
1.60343768383812,"All","lattice"
0.609851061322997,"All","lattice"
0.376981035665842,"All","lattice"
0.24855060935677,"All","lattice"
0.579571645398781,"All","lattice"
2.72098806528202,"All","lattice"
1.1283220322781,"All","lattice"
0.0901491205009258,"All","lattice"
1.44346789712793,"All","lattice"
0.597000233670053,"All","lattice"
0.262378045752285,"All","lattice"
3.67122354101543,"All","lattice"
4.18248464706094,"All","lattice"
1.41263993408111,"All","lattice"
1.15215382585031,"All","lattice"
1.78542301975258,"All","lattice"
0.230144269723634,"All","lattice"
0.396588897120491,"All","lattice"
0.0341466234995044,"All","lattice"
0.575251108869432,"All","lattice"
1.62125950219324,"All","lattice"
3.50420307406271,"All","lattice"
0.202955896657393,"All","lattice"
2.7159435537823,"All","lattice"
0.399867879352168,"All","lattice"
3.53598317227793,"All","lattice"
2.86817532449029,"All","lattice"
1.30293792156261,"All","lattice"
2.38872640558912,"All","lattice"
1.96421904148382,"All","lattice"
2.14170230131359,"All","lattice"
4.43454374420671,"All","lattice"
0.798234039143309,"All","lattice"
2.02885827015127,"All","lattice"
0.24376523675993,"All","lattice"
0.694189418782838,"All","lattice"
5.21982567653827,"All","lattice"
2.15929315026446,"All","lattice"
0.769169944037825,"All","lattice"
4.64833777106496,"All","lattice"
1.60451633945868,"All","lattice"
0.67744788342222,"All","lattice"
3.1930110013824,"All","lattice"
1.21165132665853,"All","lattice"
3.48198612586007,"All","lattice"
1.19805976121021,"All","lattice"
1.17117142309355,"All","lattice"
0.367835383731576,"All","lattice"
1.45488514118882,"All","lattice"
2.21264245491965,"All","lattice"
0.558889097968913,"All","lattice"
2.11225653839759,"All","lattice"
0.0300903433860241,"All","lattice"
1.95441416422682,"All","lattice"
0.385157468304133,"All","lattice"
2.24284751388103,"All","lattice"
1.11980134935193,"All","lattice"
0.727495240095681,"All","lattice"
0.154946113418554,"All","lattice"
0.556394846241691,"All","lattice"
4.29429047742933,"All","lattice"
1.79142040562103,"All","lattice"
0.995137419218732,"All","lattice"
0.766528698850314,"All","lattice"
1.80662693251037,"All","lattice"
0.424885689285729,"All","lattice"
3.16949076641698,"All","lattice"
1.91917942192887,"All","lattice"
0.554598802660393,"All","lattice"
0.866534860225296,"All","lattice"
1.67607822558841,"All","lattice"
1.95797641308067,"All","lattice"
0.717832563478119,"All","lattice"
2.09020695581336,"All","lattice"
1.31291358322853,"All","lattice"
2.60644363240569,"All","lattice"
0.684364209011382,"All","lattice"
4.46244622713312,"All","lattice"
3.72230720886724,"All","lattice"
0.970944842164392,"All","lattice"
1.4036592245697,"All","lattice"
1.77435076241352,"All","lattice"
0.813520411743054,"All","lattice"
2.40414992208614,"All","lattice"
1.80386659219852,"All","lattice"
0.538972857301872,"All","lattice"
0.643122515560118,"All","lattice"
0.865113261822472,"All","lattice"
0.0792524824274164,"All","lattice"
1.14026490554737,"All","lattice"
0.712161261133558,"All","lattice"
0.375630388925404,"All","lattice"
2.98863769572035,"All","lattice"
1.47414003676089,"All","lattice"
0.512559570938601,"All","lattice"
0.780517304518614,"All","lattice"
0.409926789541955,"All","lattice"
1.75044238748278,"All","lattice"
0.962991667132983,"All","lattice"
1.42439571710626,"All","lattice"
0.227525679852312,"All","lattice"
1.48095245738056,"All","lattice"
1.24799322581478,"All","lattice"
1.37954676853176,"All","lattice"
0.567781671879232,"All","lattice"
0.203288848217833,"All","lattice"
0.736472017504188,"All","lattice"
1.08007757725669,"All","lattice"
1.38575542064336,"All","lattice"
1.50820298729144,"All","lattice"
0.241671906312134,"All","lattice"
1.24205842510294,"All","lattice"
1.04996124697107,"All","lattice"
2.19156927621298,"All","lattice"
2.4255685692684,"All","lattice"
1.48223802182015,"All","lattice"
0.153384537232614,"All","lattice"
0.562479933990752,"All","lattice"
0.187916079045564,"All","lattice"
1.31681426700359,"All","lattice"
0.959540499494029,"All","lattice"
0.446934007278292,"All","lattice"
2.45674187387786,"All","lattice"
0.623320027900805,"All","lattice"
1.01548688960564,"All","lattice"
1.81238912085595,"All","lattice"
0.642261939628693,"All","lattice"
0.406105362998233,"All","lattice"
0.434273064782541,"All","lattice"
1.18702728023304,"All","lattice"
1.11844602406241,"All","lattice"
0.953048893685761,"All","lattice"
2.74361225459968,"All","lattice"
2.29198213595223,"All","lattice"
1.23654852929744,"All","lattice"
3.4859310379082,"All","lattice"
1.57827091595797,"All","lattice"
