"stickiness","agent","network"
0.836027481484117,"All","lattice"
0.790682285906766,"All","lattice"
0.954010202074146,"All","lattice"
0.830041376229613,"All","lattice"
0.746264546877114,"All","lattice"
1.18530869875553,"All","lattice"
1.02391829637282,"All","lattice"
0.799423708443955,"All","lattice"
1.17313990120673,"All","lattice"
0.865200630601511,"All","lattice"
0.708677977721756,"All","lattice"
1.03779277571164,"All","lattice"
0.675007459925264,"All","lattice"
0.764489515930543,"All","lattice"
0.785321048483442,"All","lattice"
0.873763244555589,"All","lattice"
0.780909886785944,"All","lattice"
0.711418040642649,"All","lattice"
0.809834069114486,"All","lattice"
0.912749699621505,"All","lattice"
0.81669330047651,"All","lattice"
0.831383876228162,"All","lattice"
0.71218802615072,"All","lattice"
0.947125200544265,"All","lattice"
0.840473933052176,"All","lattice"
0.903009345984845,"All","lattice"
0.836290012746473,"All","lattice"
0.916529848822666,"All","lattice"
1.13321935223177,"All","lattice"
0.751065900560462,"All","lattice"
0.808201801691714,"All","lattice"
0.771264558915605,"All","lattice"
0.887777527999116,"All","lattice"
0.863975191147161,"All","lattice"
0.854458747518744,"All","lattice"
0.703353421178133,"All","lattice"
1.01246886896594,"All","lattice"
0.735596778143109,"All","lattice"
0.880061528191036,"All","lattice"
1.07364026050103,"All","lattice"
0.972651365237642,"All","lattice"
0.951411086216007,"All","lattice"
0.852914710826127,"All","lattice"
0.858564076625776,"All","lattice"
1.02080536284218,"All","lattice"
0.733028242256612,"All","lattice"
0.695304809201264,"All","lattice"
0.891839927754677,"All","lattice"
0.801414907999397,"All","lattice"
0.842505173503118,"All","lattice"
0.784179132675201,"All","lattice"
0.71811219201226,"All","lattice"
0.853217235070075,"All","lattice"
0.84951692367997,"All","lattice"
1.11778604234374,"All","lattice"
0.744121910182217,"All","lattice"
0.681757369932148,"All","lattice"
1.0524220886434,"All","lattice"
1.02491680311778,"All","lattice"
1.07870128408631,"All","lattice"
0.832971612548666,"All","lattice"
0.717611081969317,"All","lattice"
0.946794222612064,"All","lattice"
0.804878467663422,"All","lattice"
1.00800741277387,"All","lattice"
1.17523192326189,"All","lattice"
0.733519325901286,"All","lattice"
0.911317177293703,"All","lattice"
1.07313962360054,"All","lattice"
0.957629420367214,"All","lattice"
0.966687239587467,"All","lattice"
0.695200606154545,"All","lattice"
0.75814041421063,"All","lattice"
0.931740879241129,"All","lattice"
0.926023856862972,"All","lattice"
0.984132175368521,"All","lattice"
0.954657241222979,"All","lattice"
0.920817426262084,"All","lattice"
0.63494334556575,"All","lattice"
0.978870715793472,"All","lattice"
0.935555440565541,"All","lattice"
0.969506894203909,"All","lattice"
0.896588787742878,"All","lattice"
0.750405047724595,"All","lattice"
0.907774483446227,"All","lattice"
0.825650173803719,"All","lattice"
0.864197474941749,"All","lattice"
0.725769131960542,"All","lattice"
0.774472525165315,"All","lattice"
0.826216254475388,"All","lattice"
0.681066368135844,"All","lattice"
0.819768437275898,"All","lattice"
0.997047400279211,"All","lattice"
0.855099161507483,"All","lattice"
0.774947255414799,"All","lattice"
0.971741840437334,"All","lattice"
0.923829868394432,"All","lattice"
0.838947388328173,"All","lattice"
1.05814130274398,"All","lattice"
0.845231636355902,"All","lattice"
0.87972955889034,"All","lattice"
0.672322493215304,"All","lattice"
0.803111825106417,"All","lattice"
0.692887426054616,"All","lattice"
0.820296826464074,"All","lattice"
1.01319196997397,"All","lattice"
0.694826295546474,"All","lattice"
0.70347543957916,"All","lattice"
0.832223693937848,"All","lattice"
0.919763341858217,"All","lattice"
1.04378275776371,"All","lattice"
0.662852726557177,"All","lattice"
0.981995391523442,"All","lattice"
0.650509581178672,"All","lattice"
1.00167268210897,"All","lattice"
0.797007809140051,"All","lattice"
0.782012719082313,"All","lattice"
0.79275495237961,"All","lattice"
1.0438140568878,"All","lattice"
0.897819977647628,"All","lattice"
0.679934812138638,"All","lattice"
0.910471299027328,"All","lattice"
0.796574225693236,"All","lattice"
0.754242897866948,"All","lattice"
0.757372596192441,"All","lattice"
0.91708967605302,"All","lattice"
0.766054242983073,"All","lattice"
0.808030681675504,"All","lattice"
0.950561827692349,"All","lattice"
0.823372209120376,"All","lattice"
0.809772384300536,"All","lattice"
0.868730504341769,"All","lattice"
0.762636161781565,"All","lattice"
0.499278661739818,"All","lattice"
0.934160271711205,"All","lattice"
0.720624396724602,"All","lattice"
0.874498831283626,"All","lattice"
0.957357565184533,"All","lattice"
0.985701393951805,"All","lattice"
0.794713714381591,"All","lattice"
0.914560794856999,"All","lattice"
0.921946822382054,"All","lattice"
0.779147342969123,"All","lattice"
1.00168398927417,"All","lattice"
0.667701919745498,"All","lattice"
0.796588876053908,"All","lattice"
0.787763288406886,"All","lattice"
0.931357906638769,"All","lattice"
0.664484648981117,"All","lattice"
0.769700742402906,"All","lattice"
0.690011111977627,"All","lattice"
1.00542307958579,"All","lattice"
0.995873057050289,"All","lattice"
0.927362277335342,"All","lattice"
1.11039494827584,"All","lattice"
0.726881016095309,"All","lattice"
0.811586115416472,"All","lattice"
0.791881113953074,"All","lattice"
0.846105634972238,"All","lattice"
1.0872698035154,"All","lattice"
0.721728988369799,"All","lattice"
1.02294021980316,"All","lattice"
0.931387938784754,"All","lattice"
0.838819613416488,"All","lattice"
0.800161442404774,"All","lattice"
0.901377736132373,"All","lattice"
0.798054553453597,"All","lattice"
0.73212514770574,"All","lattice"
0.916359869969217,"All","lattice"
0.985468294546033,"All","lattice"
0.984909705538714,"All","lattice"
0.633693058523441,"All","lattice"
0.88153580117458,"All","lattice"
0.673466435187552,"All","lattice"
0.766830702757336,"All","lattice"
0.979201512864777,"All","lattice"
1.09232824645188,"All","lattice"
0.821654164738757,"All","lattice"
0.795026741436229,"All","lattice"
0.925241154144236,"All","lattice"
0.697811322811271,"All","lattice"
0.99016623833997,"All","lattice"
0.99645058588909,"All","lattice"
0.768217939591752,"All","lattice"
1.14250181414229,"All","lattice"
0.662111472968673,"All","lattice"
0.962833352026391,"All","lattice"
0.881203320789751,"All","lattice"
0.728662292579546,"All","lattice"
0.848680073462316,"All","lattice"
1.01309689184608,"All","lattice"
1.07808131774528,"All","lattice"
1.08591432931188,"All","lattice"
0.653887916089996,"All","lattice"
1.09425017092679,"All","lattice"
0.840825072122873,"All","lattice"
0.828645897388138,"All","lattice"
0.855612259916274,"All","lattice"
0.880643529622815,"All","lattice"
0.608809451277555,"All","lattice"
0.573854350748688,"All","lattice"
0.797235897410266,"All","lattice"
0.735833877949664,"All","lattice"
0.820612926033442,"All","lattice"
0.690312351061707,"All","lattice"
0.879745017023115,"All","lattice"
0.665349238172961,"All","lattice"
0.993824132467959,"All","lattice"
0.967867128067777,"All","lattice"
0.942956020790082,"All","lattice"
0.844315915478831,"All","lattice"
0.960843917115907,"All","lattice"
0.767863763470887,"All","lattice"
0.746058507022444,"All","lattice"
0.768630663327051,"All","lattice"
0.968729974167274,"All","lattice"
0.73054776589043,"All","lattice"
1.11427688443683,"All","lattice"
0.595013258028661,"All","lattice"
0.75602636313961,"All","lattice"
0.742333245134502,"All","lattice"
0.740967035509309,"All","lattice"
0.696716111142931,"All","lattice"
1.00860158176617,"All","lattice"
0.565634075868768,"All","lattice"
0.814608122821358,"All","lattice"
0.750382617013684,"All","lattice"
0.889911567913631,"All","lattice"
0.972405217044162,"All","lattice"
0.815361204134143,"All","lattice"
0.874470584522053,"All","lattice"
0.687656551775722,"All","lattice"
